  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
 26.90 26.27  788.86   -4.50 F2              
 26.90 24.04 1665.48   -4.00 F2F2            
 26.90 19.63 2796.62   -3.32 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 24.04 1665.48   -4.00 F2F2            
  0.00 19.63 2796.62   -3.32 F2F2F2          
 24.23 23.51  864.86   -3.43 F2              
 24.23 20.98 1842.12   -2.95 F2F2            
 24.23 16.02 3169.91   -2.29 F2F2F2          
 24.33 23.62  861.63   -3.63 F2              
 24.33 21.12 1834.06   -3.15 F2F2            
 24.33 16.20 3150.77   -2.49 F2F2F2          
 24.22 23.58  863.34   -5.83 F2              
 24.22 21.21 1831.34   -5.34 F2F2            
 24.22 16.54 3123.13   -4.64 F2F2F2          
 47.90 47.21  437.77   -3.21 F2              
 47.90 45.62  905.98   -2.40 F2F2            
 47.90 42.78 1435.35   -1.47 F2F2F2          
 53.83 52.95  373.74    2.82 F2              
 53.83 51.26  775.10    3.71 F2F2            
 53.83 48.43 1227.67    4.68 F2F2F2          
 50.70 50.53  401.32  -23.87 F2              
 50.70 49.84  816.11  -22.88 F2F2            
 50.70 48.41 1258.39  -21.67 F2F2F2          
 49.44 48.76  419.91   -4.18 F2              
 49.44 47.23  867.95   -3.32 F2F2            
 49.44 44.50 1371.54   -2.33 F2F2F2          
 23.12 22.36  900.79   -3.24 F2              
 23.12 19.70 1926.54   -2.77 F2F2            
 23.12 14.47 3355.31   -2.11 F2F2F2          
 23.44 22.90  885.96   -9.03 F2              
 23.44 20.68 1872.27   -8.53 F2F2            
 23.44 16.33 3171.00   -7.79 F2F2F2          
 27.78 27.19  766.65   -5.49 F2              
 27.78 25.08 1613.59   -4.97 F2F2            
 27.78 20.88 2687.89   -4.27 F2F2F2          
 23.59 22.97  883.02   -6.73 F2              
 23.59 20.59 1873.76   -6.24 F2F2            
 23.59 15.93 3201.81   -5.53 F2F2F2          
 16.55 15.42 1199.95   -6.86 F2              
 16.55 11.82 2645.31   -6.39 F2F2            
 16.55  0.00    0.00    0.00                 
 59.18 57.98  322.19   16.62 F2              
 59.18 56.05  672.60   17.45 F2F2            
 59.18 53.15 1070.57   18.22 F2F2F2          
 28.72 29.89  712.10  -93.13 F2              
 28.72 30.59 1396.52  -93.12 F2F2            
 28.72 30.88 2071.69  -93.17 F2F2F2          
 60.15 58.76  313.86   28.82 F2              
 60.15 56.72  657.43   29.40 F2F2            
 60.15 53.85 1048.41   29.85 F2F2F2          
  0.06  0.48 2240.89  -46.29 E               
  0.06  0.20 4475.91  -46.27 EE              
  0.06  0.00    0.00    0.00                 
 54.17 52.92  373.19   21.42 F2              
 54.17 50.89  780.03   22.02 F2F2            
 54.17 47.82 1245.25   22.53 F2F2F2          
 35.08 35.03  609.81  -22.93 F2              
 35.08 34.21 1245.15  -22.29 F2F2            
 35.08 32.39 1943.51  -21.41 F2F2F2          
 39.59 39.22  542.84  -13.35 F2              
 39.59 37.94 1118.30  -12.64 F2F2            
 39.59 35.36 1767.63  -11.73 F2F2F2          
 50.26 49.53  411.44   -2.55 F2              
 50.26 47.95  851.34   -1.69 F2F2            
 50.26 45.17 1346.71   -0.70 F2F2F2          
 27.14 26.55  782.48   -5.70 F2              
 27.14 24.41 1648.55   -5.18 F2F2            
 27.14 20.15 2754.77   -4.48 F2F2F2          
 11.35  9.03 1636.62   -6.67 F2              
 11.35  0.00    0.00    0.00                 
 11.35 20.15 2754.77   -4.48 F2F2F2          
  9.47  5.34 2039.19   -6.12 F2              
  9.47  5.07 3511.03   -5.97 EsF2            
  9.47  0.00    0.00    0.00                 
 14.99 13.44 1311.33   -3.47 F2              
 14.99  8.73 3010.72   -3.01 F2F2            
 14.99  0.00    0.00    0.00                 
 11.92  9.72 1576.21   -5.47 F2              
 11.92  0.00    0.00    0.00                 
 11.92  0.00    0.00    0.00                 
 16.76 15.63 1189.51   -6.16 F2              
 16.76 12.01 2624.39   -5.69 F2F2            
 16.76  0.00    0.00    0.00                 
 19.13 18.20 1062.13   -4.75 F2              
 19.13 15.02 2308.80   -4.29 F2F2            
 19.13  8.78 4232.56   -3.57 F2F2F2          
 13.27 11.43 1445.18   -4.87 F2              
