
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0  125.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 7.400|o| 72.50| 76.68| 1.659| -0.231| -5.827|   1.1|  55.7|  48.0|  0.0|F2                      || 0.986| -58.021|
| 7.400|x| 70.68| 75.30| 1.622| -0.199| -5.824|   1.5|  54.4|  48.9|  0.0|F2                      ||-0.985|  34.880|
| 7.500|o| 72.60| 76.73| 1.667| -0.230| -5.796|   1.1|  55.8|  47.9|  0.0|F2                      || 0.986| -58.122|
| 7.500|x| 70.75| 75.36| 1.628| -0.200| -5.827|   1.5|  54.5|  48.8|  0.0|F2                      ||-0.985|  34.770|
| 7.600|o| 72.70| 76.78| 1.674| -0.228| -5.762|   1.1|  55.9|  47.7|  0.0|F2                      || 0.986| -58.223|
| 7.600|x| 70.82| 75.41| 1.635| -0.202| -5.828|   1.5|  54.6|  48.7|  0.0|F2                      ||-0.985|  34.662|
| 7.700|o| 72.80| 76.82| 1.682| -0.227| -5.725|   1.2|  56.0|  47.6|  0.0|F2                      || 0.986| -58.322|
| 7.700|x| 70.90| 75.46| 1.641| -0.203| -5.826|   1.5|  54.7|  48.6|  0.0|F2                      ||-0.985|  34.556|
| 7.800|o| 72.90| 76.87| 1.690| -0.225| -5.683|   1.2|  56.1|  47.5|  0.0|F2                      || 0.987| -58.421|
| 7.800|x| 70.97| 75.51| 1.648| -0.204| -5.821|   1.5|  54.8|  48.5|  0.0|F2                      ||-0.986|  34.452|
| 7.900|o| 73.01| 76.91| 1.699| -0.223| -5.637|   1.2|  56.2|  47.4|  0.0|F2                      || 0.987| -58.518|
| 7.900|x| 71.05| 75.56| 1.654| -0.205| -5.814|   1.5|  54.9|  48.4|  0.0|F2                      ||-0.986|  34.349|
| 8.000|o| 73.12| 76.96| 1.707| -0.220| -5.587|   1.2|  56.4|  47.3|  0.0|F2                      || 0.987| -58.615|
| 8.000|x| 71.13| 75.61| 1.661| -0.206| -5.803|   1.5|  55.0|  48.4|  0.0|F2                      ||-0.986|  34.249|
| 8.100|o| 73.23| 77.00| 1.716| -0.217| -5.532|   1.2|  56.5|  47.1|  0.0|F2                      || 0.987| -58.711|
| 8.100|x| 71.21| 75.66| 1.668| -0.206| -5.789|   1.5|  55.0|  48.3|  0.0|F2                      ||-0.986|  34.150|
| 8.200|o| 73.35| 77.04| 1.725| -0.213| -5.473|   1.2|  56.6|  47.0|  0.0|F2                      || 0.987| -58.806|
| 8.200|x| 71.29| 75.71| 1.675| -0.207| -5.772|   1.5|  55.1|  48.2|  0.0|F2                      ||-0.987|  34.053|
| 8.300|o| 73.47| 77.08| 1.735| -0.209| -5.408|   1.2|  56.7|  46.9|  0.0|F2                      || 0.988| -58.900|
| 8.300|x| 71.38| 75.75| 1.683| -0.207| -5.751|   1.5|  55.2|  48.1|  0.0|F2                      ||-0.987|  33.957|
