
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0   45.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 6.900|x| 70.38| 74.99| 1.591| -0.174|  5.302|   1.6|  54.1|  49.1|  0.0|F2                      ||-0.983|  35.504|
| 7.000|o| 72.08| 76.61| 1.630| -0.231|  5.895|   1.1|  55.4|  48.3|  0.0|F2                      || 0.985| -57.855|
| 7.000|x| 70.45| 75.05| 1.597| -0.176|  5.311|   1.6|  54.2|  49.0|  0.0|F2                      ||-0.984|  35.391|
| 7.100|o| 72.17| 76.66| 1.637| -0.231|  5.881|   1.1|  55.5|  48.2|  0.0|F2                      || 0.985| -57.958|
| 7.100|x| 70.52| 75.10| 1.603| -0.178|  5.317|   1.5|  54.3|  49.0|  0.0|F2                      ||-0.984|  35.281|
| 7.200|o| 72.26| 76.70| 1.644| -0.231|  5.864|   1.1|  55.6|  48.1|  0.0|F2                      || 0.985| -58.060|
| 7.200|x| 70.59| 75.16| 1.609| -0.179|  5.320|   1.5|  54.4|  48.9|  0.0|F2                      ||-0.984|  35.172|
| 7.300|o| 72.35| 76.75| 1.651| -0.231|  5.844|   1.1|  55.7|  48.0|  0.0|F2                      || 0.986| -58.160|
| 7.300|x| 70.66| 75.21| 1.615| -0.181|  5.320|   1.5|  54.5|  48.8|  0.0|F2                      ||-0.984|  35.066|
| 7.400|o| 72.44| 76.79| 1.659| -0.230|  5.822|   1.1|  55.8|  47.9|  0.0|F2                      || 0.986| -58.260|
| 7.400|x| 70.74| 75.26| 1.622| -0.182|  5.318|   1.5|  54.5|  48.7|  0.0|F2                      ||-0.985|  34.962|
| 7.500|o| 72.54| 76.84| 1.666| -0.230|  5.797|   1.1|  55.9|  47.8|  0.0|F2                      || 0.986| -58.358|
| 7.500|x| 70.81| 75.31| 1.628| -0.183|  5.312|   1.5|  54.6|  48.7|  0.0|F2                      ||-0.985|  34.861|
| 7.600|o| 72.64| 76.88| 1.674| -0.229|  5.768|   1.1|  56.0|  47.6|  0.0|F2                      || 0.986| -58.455|
| 7.600|x| 70.89| 75.36| 1.634| -0.184|  5.304|   1.5|  54.7|  48.6|  0.0|F2                      ||-0.985|  34.761|
| 7.700|o| 72.74| 76.93| 1.682| -0.227|  5.737|   1.2|  56.1|  47.5|  0.0|F2                      || 0.987| -58.551|
| 7.700|x| 70.97| 75.41| 1.641| -0.185|  5.293|   1.5|  54.8|  48.5|  0.0|F2                      ||-0.985|  34.664|
| 7.800|o| 72.84| 76.97| 1.690| -0.225|  5.703|   1.2|  56.2|  47.4|  0.0|F2                      || 0.987| -58.646|
| 7.800|x| 71.05| 75.46| 1.648| -0.185|  5.279|   1.5|  54.9|  48.4|  0.0|F2                      ||-0.986|  34.568|
| 7.900|o| 72.95| 77.01| 1.699| -0.223|  5.665|   1.2|  56.3|  47.3|  0.0|F2                      || 0.987| -58.741|
| 7.900|x| 71.13| 75.50| 1.654| -0.185|  5.262|   1.5|  55.0|  48.3|  0.0|F2                      ||-0.986|  34.474|
| 8.000|o| 73.06| 77.05| 1.707| -0.221|  5.624|   1.2|  56.4|  47.2|  0.0|F2                      || 0.987| -58.834|
| 8.000|x| 71.22| 75.55| 1.661| -0.185|  5.242|   1.5|  55.1|  48.2|  0.0|F2                      ||-0.986|  34.383|
| 8.100|o| 73.17| 77.10| 1.716| -0.218|  5.579|   1.2|  56.6|  47.0|  0.0|F2                      || 0.987| -58.927|
