
delt0=       1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0


Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number= 139.8 IG= 122.8   GMT time:15:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.18| 84.0|0.77|110.0| 0.00|  0.0| 8.00|290.2|  98.0|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|110.4| 1.99 | 2.50 | 62.9 |
+==================================+

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
|  0|13.60|54179.9|  1| 0.01| 7.98|   3.726|  43.247| 2711.422| -77.8|  -0.2| 2791.4| 0.000|   0.0|  17.411|  41.639|191.73|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54179.9|  1|25.94|30.46|  24.356|  41.424| 1158.523| -77.2|  -0.4| 1377.8| 0.000|   0.0|  31.727|  41.741|261.47|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|30.46|32.38|  12.191|  42.016| 2059.897| -77.6|  -0.8| 2479.2| 0.000|   0.0|  18.086|  41.527|240.33|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|32.38|33.18|   1.510|  43.776| 2890.576| -78.0|  -1.2| 3507.9| 0.000|   0.0|   6.715|  42.751|234.18|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54179.9|  1|13.10|16.95|  19.410|  41.315| 1521.790| -76.6|  -0.5| 1632.9| 0.000|   0.0|  28.836|  41.446|220.16|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|16.95|18.38|   2.334|  43.141| 2810.861| -77.0|  -0.9| 3033.0| 0.000|   0.0|  10.420|  41.914|205.42|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|18.38|19.17| -12.503|  47.184| 4061.476| -77.2|  -1.1| 4400.1| 0.000|   0.0|  -5.478|  44.947|203.23|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54179.9|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54179.9|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54211.7|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
