  0.00 28.13 2103.88   92.95 F2F2            
  0.00 28.87 2957.94   92.84 F2F2F2          
  5.16  9.92 1991.69   93.92 F2              
  5.16 10.54 3448.69   93.89 F2F2            
  5.16  0.00    0.00    0.00                 
 11.99 16.14 1476.35   94.71 F2              
 11.99 17.67 2631.01   94.62 F2F2            
 11.99 17.61 3734.16   94.66 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 17.67 2631.01   94.62 F2F2            
  0.00 17.61 3734.16   94.66 F2F2F2          
 13.48 17.58 1402.34   94.17 F2              
 13.48 19.29 2507.69   94.06 F2F2            
 13.48 19.37 3551.56   94.08 F2F2F2          
 16.05 20.14 1296.05   94.91 F2              
 16.05 22.05 2329.54   94.75 F2F2            
 16.05 22.33 3296.24   94.75 F2F2F2          
  8.57 12.91 1691.61   95.18 F2              
  8.57 13.97 2983.45   95.14 F2F2            
  8.57  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00 13.97 2983.45   95.14 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00 13.97 2983.45   95.14 F2F2            
  0.00  0.00    0.00    0.00                 
 13.73 17.82 1388.45   95.37 F2              
 13.73 19.50 2486.86   95.27 F2F2            
 13.73 19.55 3527.88   95.30 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 19.50 2486.86   95.27 F2F2            
  0.00 19.55 3527.88   95.30 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 19.50 2486.86   95.27 F2F2            
  0.00 19.55 3527.88   95.30 F2F2F2          
  9.28 13.55 1639.64   94.66 F2              
  9.28 14.73 2899.26   94.62 F2F2            
  9.28 14.48 4133.61   94.66 F2F2F2          
 13.07 17.15 1413.51  100.03 F2              
 13.07 18.58 2538.28   99.97 F2F2            
 13.07 18.45 3626.96  100.01 F2F2F2          
 22.70 27.28 1163.83   92.39 F2              
 22.70 29.76 2080.23   92.00 F2F2            
 22.70 30.58 2917.89   91.84 F2F2F2          
 18.68 22.80 1219.78   91.78 F2              
 18.68 25.03 2195.90   91.53 F2F2            
 18.68 25.64 3093.77   91.46 F2F2F2          
 10.39 14.59 1566.30   94.84 F2              
 10.39 15.90 2780.70   94.79 F2F2            
 10.39 15.71 3959.03   94.83 F2F2F2          
 23.76 28.58 1188.72   88.83 F2              
 23.76 31.23 2104.72   88.31 F2F2            
 23.76 32.22 2935.26   88.06 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 31.23 2104.72   88.31 F2F2            
  0.00 32.22 2935.26   88.06 F2F2F2          
  8.18 12.56 1720.54   93.57 F2              
